Cod,Favela_completa,Sigla,Favela,Municipio,Domicilios
29108000063,Santa Quitéria - Feira de Santana (BA),BA,Santa Quitéria,Feira de Santana,147
29108000064,Santo Antônio dos Prazeres - Feira de Santana (BA),BA,Santo Antônio dos Prazeres,Feira de Santana,151
29108000066,Zé Ronaldo (Campo Limpo) - Feira de Santana (BA),BA,Zé Ronaldo (Campo Limpo),Feira de Santana,204
29108000069,Santa Mônica - Feira de Santana (BA),BA,Santa Mônica,Feira de Santana,1131
29108000071,Rocinha - Feira de Santana (BA),BA,Rocinha,Feira de Santana,1488
29136060001,Alto Bela Vista - Ilhéus (BA),BA,Alto Bela Vista,Ilhéus,260
29136060002,Vila Nazaré - Ilhéus (BA),BA,Vila Nazaré,Ilhéus,1076
29136060003,Teotônio Vilela - Ilhéus (BA),BA,Teotônio Vilela,Ilhéus,5500
29136060004,Boa Vista / Mambape / Paraguai - Ilhéus (BA),BA,Boa Vista / Mambape / Paraguai,Ilhéus,4190
29136060005,Rua da Palha - Ilhéus (BA),BA,Rua da Palha,Ilhéus,4799
29136060006,Alto da Soledade - Ilhéus (BA),BA,Alto da Soledade,Ilhéus,882
29136060007,Alto da Tapera - Ilhéus (BA),BA,Alto da Tapera,Ilhéus,351
29136060008,Alto do Coqueiro - Ilhéus (BA),BA,Alto do Coqueiro,Ilhéus,1240
29136060009,Alto Nerival - Ilhéus (BA),BA,Alto Nerival,Ilhéus,732
29136060010,Alto do Basílio - Ilhéus (BA),BA,Alto do Basílio,Ilhéus,1090
29136060012,Alto do Carilos - Ilhéus (BA),BA,Alto do Carilos,Ilhéus,479
29136060013,Corante e Cominho - Ilhéus (BA),BA,Corante e Cominho,Ilhéus,391
29136060014,Csu e Rua da Paz - Ilhéus (BA),BA,Csu e Rua da Paz,Ilhéus,613
29136060016,Loteamento Norma e Rua Ouvídeo Leal - Ilhéus (BA),BA,Loteamento Norma e Rua Ouvídeo Leal,Ilhéus,894
29136060017,Luiz Gama e Região do João XXIII - Ilhéus (BA),BA,Luiz Gama e Região do João XXIII,Ilhéus,937
29136060018,Ouro Verde - Ilhéus (BA),BA,Ouro Verde,Ilhéus,384
29136060019,Princesa Isabel - Ilhéus (BA),BA,Princesa Isabel,Ilhéus,641
29136060020,Salobrinho - Ilhéus (BA),BA,Salobrinho,Ilhéus,1998
29136060021,Santa Inês/Jamaica/Rombudo - Ilhéus (BA),BA,Santa Inês/Jamaica/Rombudo,Ilhéus,1209
29136060022,Vila Cachoeira - Ilhéus (BA),BA,Vila Cachoeira,Ilhéus,274
29136060023,Vila Freitas - Ilhéus (BA),BA,Vila Freitas,Ilhéus,453
29136060024,Vila Queiroz - Ilhéus (BA),BA,Vila Queiroz,Ilhéus,517
29147030001,Caititu - Itaberaba (BA),BA,Caititu,Itaberaba,511
29147030003,Campo do Governo - Itaberaba (BA),BA,Campo do Governo,Itaberaba,1338
29147030004,Barro vermelho - Itaberaba (BA),BA,Barro vermelho,Itaberaba,348
29147030005,Oriente - Itaberaba (BA),BA,Oriente,Itaberaba,186
